Risiko | T CAGR/DD | G CAGR/DD | Stress -20 % Gewinner: T CAGR/DD, G CAGR/DD | MC 5 J: DD p50/p95, P(DD>=50 %)
 0.50 % | T  13.8%/ 22% | G  30.3%/ 22% | T   6.2%/ 28%, G  20.7%/ 28% |  16/ 25%,  0.0%
 0.75 % | T  19.1%/ 31% | G  45.7%/ 31% | T   7.5%/ 39%, G  30.3%/ 39% |  22/ 35%,  0.1%
 1.00 % | T  23.5%/ 38% | G  59.7%/ 38% | T   8.4%/ 47%, G  38.8%/ 47% |  28/ 43%,  1.3%
 1.25 % | T  25.4%/ 43% | G  69.4%/ 43% | T   8.1%/ 55%, G  44.4%/ 55% |  32/ 48%,  4.0%
 1.50 % | T  26.2%/ 49% | G  77.3%/ 49% | T   7.3%/ 61%, G  49.2%/ 61% |  36/ 54%,  9.6%
 1.75 % | T  26.9%/ 53% | G  83.3%/ 53% | T   6.9%/ 66%, G  53.5%/ 66% |  40/ 58%, 16.7%
 2.00 % | T  26.7%/ 57% | G  88.2%/ 57% | T   6.5%/ 69%, G  57.0%/ 69% |  42/ 61%, 24.2%
 2.50 % | T  25.6%/ 63% | G  92.8%/ 63% | T   4.4%/ 74%, G  60.1%/ 74% |  47/ 67%, 39.1%
 3.00 % | T  22.6%/ 67% | G  94.4%/ 67% | T   0.9%/ 78%, G  61.1%/ 78% |  50/ 71%, 51.3%
robuster Kelly-Punkt (hoechste CAGR 2006-16 unter Stress): 1.0 % Risiko je Trade
